n_i,n_j,FC,p_i_entry,p_j_entry
0,0,0,0.5,0.5
0,0,1,0.2689414213699951,0.2689414213699951
0,0,2,0.11920292202211755,0.11920292202211755
0,0,3,0.04742587317756679,0.04742587317756679
0,0,4,0.017986209962091555,0.017986209962091555
0,0,5,0.006692850924284856,0.006692850924284856
0,0,6,0.0024726231566347748,0.0024726231566347748
0,0,7,0.0009110511944006454,0.0009110511944006454
0,0,8,0.00033535013046647816,0.00033535013046647816
0,0,9,0.00012339457598623172,0.00012339457598623172
0,0,10,4.5397868702434395e-05,4.5397868702434395e-05
